id,source_file,source_line,heuristic_type,current_expression,risk_level,resolution_mode,target_change,tests_required,owner_package,status,rule_uuid,severity,buckets,false_positive_risk,evidence_level,verification_rule
H-RULE-458cfc95-9914-4bd9-a2f8-732dfe36242c,packages/runtime/src/api/migrations/defaults/rules.json,320,FALLBACK_DEFAULT,Prefer Server Components for pages/layouts and move interactivity to small leaf Client Components. Only add 'use client' where browser APIs or event handlers are strictly necessary.,HIGH,HARDEN,Rule retained in code-first mode with schema and behavior verification.,rule-schema-validation|rule-behavior-validation,@codenautic/runtime,TRIAGED,458cfc95-9914-4bd9-a2f8-732dfe36242c,HIGH,stack-nextjs|stack-react|performance-efficiency|readability-refactor,HIGH,RULE_TEXT_ONLY,rule-458cfc95-schema::Validate uuid/severity/buckets and non-empty rule text for 458cfc95-9914-4bd9-a2f8-732dfe36242c
H-RULE-6c929c8c-67a6-4740-89a1-5cdef6a6e664,packages/runtime/src/api/migrations/defaults/rules.json,346,OTHER,Always use the Next.js Image component for images with width/height (or fill) and meaningful alt text. Avoid plain <img> for app assets.,HIGH,HARDEN,Rule retained in code-first mode with schema and behavior verification.,rule-schema-validation|rule-behavior-validation,@codenautic/runtime,TRIAGED,6c929c8c-67a6-4740-89a1-5cdef6a6e664,HIGH,stack-nextjs|stack-react|web-static-assets|accessibility-a11y|performance-efficiency,MEDIUM,RULE_TEXT_ONLY,rule-6c929c8c-schema::Validate uuid/severity/buckets and non-empty rule text for 6c929c8c-67a6-4740-89a1-5cdef6a6e664
H-RULE-3f15eda6-41c0-4d9e-a40b-3ac07171f392,packages/runtime/src/api/migrations/defaults/rules.json,373,OTHER,Use <Link> from 'next/link' for internal routes; reserve <a> only for external URLs or downloadable assets.,MEDIUM,KEEP_CODE_FIRST,Rule retained in code-first mode with schema and behavior verification.,rule-schema-validation|rule-behavior-validation,@codenautic/runtime,TRIAGED,3f15eda6-41c0-4d9e-a40b-3ac07171f392,MEDIUM,stack-nextjs|stack-react|performance-efficiency|ui-robustness,MEDIUM,RULE_TEXT_ONLY,rule-3f15eda6-schema::Validate uuid/severity/buckets and non-empty rule text for 3f15eda6-41c0-4d9e-a40b-3ac07171f392
H-RULE-cde7825f-b091-4205-a1ed-c3140941c16d,packages/runtime/src/api/migrations/defaults/rules.json,399,OTHER,"For dynamic data use { cache: 'no-store' } or file-level dynamic = 'force-dynamic'. For ISR use { next: { revalidate: N, tags: [...] } }.",HIGH,HARDEN,Rule retained in code-first mode with schema and behavior verification.,rule-schema-validation|rule-behavior-validation,@codenautic/runtime,TRIAGED,cde7825f-b091-4205-a1ed-c3140941c16d,HIGH,stack-nextjs|stack-react|caching-strategy|performance-efficiency,MEDIUM,RULE_TEXT_ONLY,rule-cde7825f-schema::Validate uuid/severity/buckets and non-empty rule text for cde7825f-b091-4205-a1ed-c3140941c16d
H-RULE-76a75499-ee56-4066-8b78-4cfd7726166a,packages/runtime/src/api/migrations/defaults/rules.json,425,OTHER,"After server-side mutations, call revalidatePath or revalidateTag to refresh cached RSC data.",HIGH,HARDEN,Rule retained in code-first mode with schema and behavior verification.,rule-schema-validation|rule-behavior-validation,@codenautic/runtime,TRIAGED,76a75499-ee56-4066-8b78-4cfd7726166a,HIGH,stack-nextjs|stack-react|caching-strategy|resilience-retries-idempotency,MEDIUM,RULE_TEXT_ONLY,rule-76a75499-schema::Validate uuid/severity/buckets and non-empty rule text for 76a75499-ee56-4066-8b78-4cfd7726166a
H-RULE-9ba3a9b6-299a-4884-8e3f-ad4455fdb0c3,packages/runtime/src/api/migrations/defaults/rules.json,451,OTHER,"Prefer app/api route handlers over legacy pages/api. Return NextResponse.json, validate input, and handle allowed HTTP methods explicitly.",HIGH,HARDEN,Rule retained in code-first mode with schema and behavior verification.,rule-schema-validation|rule-behavior-validation,@codenautic/runtime,TRIAGED,9ba3a9b6-299a-4884-8e3f-ad4455fdb0c3,HIGH,stack-nextjs|stack-react|api-conventions|security-hardening,LOW,RULE_TEXT_ONLY,rule-9ba3a9b6-schema::Validate uuid/severity/buckets and non-empty rule text for 9ba3a9b6-299a-4884-8e3f-ad4455fdb0c3
H-RULE-e26383cc-1872-4361-b24f-628bf0ead62c,packages/runtime/src/api/migrations/defaults/rules.json,477,OTHER,"Read secrets (process.env.*) only in Server Components, Route Handlers, or server actions. Client Components must use ONLY NEXT_PUBLIC_* variables.",HIGH,HARDEN,Rule retained in code-first mode with schema and behavior verification.,rule-schema-validation|rule-behavior-validation,@codenautic/runtime,TRIAGED,e26383cc-1872-4361-b24f-628bf0ead62c,HIGH,stack-nextjs|stack-react|secrets-credentials|security-hardening|config-environment,LOW,RULE_TEXT_ONLY,rule-e26383cc-schema::Validate uuid/severity/buckets and non-empty rule text for e26383cc-1872-4361-b24f-628bf0ead62c
H-RULE-51d60016-72f9-4721-8912-1d0620dedf04,packages/runtime/src/api/migrations/defaults/rules.json,504,OTHER,Declare SEO metadata via export const metadata or generateMetadata; avoid manual <Head> in App Router.,MEDIUM,KEEP_CODE_FIRST,Rule retained in code-first mode with schema and behavior verification.,rule-schema-validation|rule-behavior-validation,@codenautic/runtime,TRIAGED,51d60016-72f9-4721-8912-1d0620dedf04,MEDIUM,stack-nextjs|stack-react|maintainability|web-static-assets,MEDIUM,RULE_TEXT_ONLY,rule-51d60016-schema::Validate uuid/severity/buckets and non-empty rule text for 51d60016-72f9-4721-8912-1d0620dedf04
H-RULE-57863e72-b5e5-47fc-860f-23d4173e25b3,packages/runtime/src/api/migrations/defaults/rules.json,530,FALLBACK_DEFAULT,"For async routes, add loading.tsx for suspense fallbacks and error.tsx for boundaries. Use notFound() for 404 states.",MEDIUM,KEEP_CODE_FIRST,Rule retained in code-first mode with schema and behavior verification.,rule-schema-validation|rule-behavior-validation,@codenautic/runtime,TRIAGED,57863e72-b5e5-47fc-860f-23d4173e25b3,MEDIUM,stack-nextjs|stack-react|ui-robustness|testing-quality,MEDIUM,RULE_TEXT_ONLY,rule-57863e72-schema::Validate uuid/severity/buckets and non-empty rule text for 57863e72-b5e5-47fc-860f-23d4173e25b3
H-RULE-815cbea6-9a3b-453e-850d-ade3eae9927b,packages/runtime/src/api/migrations/defaults/rules.json,556,OTHER,"When statically prebuilding dynamic segments, implement generateStaticParams and validate params; fall back to notFound() for invalid slugs.",MEDIUM,KEEP_CODE_FIRST,Rule retained in code-first mode with schema and behavior verification.,rule-schema-validation|rule-behavior-validation,@codenautic/runtime,TRIAGED,815cbea6-9a3b-453e-850d-ade3eae9927b,MEDIUM,stack-nextjs|stack-react|caching-strategy|performance-efficiency,MEDIUM,RULE_TEXT_ONLY,rule-815cbea6-schema::Validate uuid/severity/buckets and non-empty rule text for 815cbea6-9a3b-453e-850d-ade3eae9927b
H-RULE-b8f876a8-e55b-47d4-a6b5-3a10daf13179,packages/runtime/src/api/migrations/defaults/rules.json,582,WEIGHTING,"Use next/dynamic with { ssr: false } for large client-only components (maps, editors) and provide a lightweight loading fallback.",MEDIUM,KEEP_CODE_FIRST,Rule retained in code-first mode with schema and behavior verification.,rule-schema-validation|rule-behavior-validation,@codenautic/runtime,TRIAGED,b8f876a8-e55b-47d4-a6b5-3a10daf13179,MEDIUM,stack-nextjs|stack-react|performance-efficiency|web-static-assets,MEDIUM,RULE_TEXT_ONLY,rule-b8f876a8-schema::Validate uuid/severity/buckets and non-empty rule text for b8f876a8-e55b-47d4-a6b5-3a10daf13179
H-RULE-380963e7-b197-488d-8990-1da82e689109,packages/runtime/src/api/migrations/defaults/rules.json,608,OTHER,"Use headers() and cookies() in Server Components, Route Handlers, or server actions; never in Client Components.",HIGH,HARDEN,Rule retained in code-first mode with schema and behavior verification.,rule-schema-validation|rule-behavior-validation,@codenautic/runtime,TRIAGED,380963e7-b197-488d-8990-1da82e689109,HIGH,stack-nextjs|stack-react|security-hardening|config-environment,LOW,RULE_TEXT_ONLY,rule-380963e7-schema::Validate uuid/severity/buckets and non-empty rule text for 380963e7-b197-488d-8990-1da82e689109
H-RULE-0120aec1-b39b-4e46-ae12-34e6f2626507,packages/runtime/src/api/migrations/defaults/rules.json,634,OTHER,Load fonts via next/font (google or local) and apply on html/body; avoid runtime <link> to fonts that cause FOUT/CLS.,MEDIUM,KEEP_CODE_FIRST,Rule retained in code-first mode with schema and behavior verification.,rule-schema-validation|rule-behavior-validation,@codenautic/runtime,TRIAGED,0120aec1-b39b-4e46-ae12-34e6f2626507,MEDIUM,stack-nextjs|stack-react|web-static-assets|performance-efficiency,MEDIUM,RULE_TEXT_ONLY,rule-0120aec1-schema::Validate uuid/severity/buckets and non-empty rule text for 0120aec1-b39b-4e46-ae12-34e6f2626507
H-RULE-809eee3d-479f-4752-93d6-ed3f53ff2ccf,packages/runtime/src/api/migrations/defaults/rules.json,660,OTHER,Prefer redirect() and notFound() over manual 302/404 handling and custom components in App Router.,MEDIUM,KEEP_CODE_FIRST,Rule retained in code-first mode with schema and behavior verification.,rule-schema-validation|rule-behavior-validation,@codenautic/runtime,TRIAGED,809eee3d-479f-4752-93d6-ed3f53ff2ccf,MEDIUM,stack-nextjs|stack-react|api-conventions|readability-refactor,HIGH,RULE_TEXT_ONLY,rule-809eee3d-schema::Validate uuid/severity/buckets and non-empty rule text for 809eee3d-479f-4752-93d6-ed3f53ff2ccf
H-RULE-30cf26c3-0c22-4907-834c-33c54f0ad427,packages/runtime/src/api/migrations/defaults/rules.json,686,OTHER,"For third-party scripts, use <Script> with an appropriate strategy and onLoad callbacks. Avoid dangerouslySetInnerHTML for scripts.",MEDIUM,KEEP_CODE_FIRST,Rule retained in code-first mode with schema and behavior verification.,rule-schema-validation|rule-behavior-validation,@codenautic/runtime,TRIAGED,30cf26c3-0c22-4907-834c-33c54f0ad427,MEDIUM,stack-nextjs|stack-react|performance-efficiency|security-hardening,LOW,RULE_TEXT_ONLY,rule-30cf26c3-schema::Validate uuid/severity/buckets and non-empty rule text for 30cf26c3-0c22-4907-834c-33c54f0ad427
H-RULE-db50a590-c103-4273-a01a-f5bfdceab637,packages/runtime/src/api/migrations/defaults/rules.json,712,OTHER,Keep middleware fast and side-effect free (no DB writes). Narrow the matcher and skip static assets. Use Route Handlers for heavy logic.,HIGH,HARDEN,Rule retained in code-first mode with schema and behavior verification.,rule-schema-validation|rule-behavior-validation,@codenautic/runtime,TRIAGED,db50a590-c103-4273-a01a-f5bfdceab637,HIGH,stack-nextjs|stack-react|performance-efficiency|security-hardening,LOW,RULE_TEXT_ONLY,rule-db50a590-schema::Validate uuid/severity/buckets and non-empty rule text for db50a590-c103-4273-a01a-f5bfdceab637
H-RULE-9669337c-704f-4804-9bb2-34d4cf6c0ee4,packages/runtime/src/api/migrations/defaults/rules.json,738,OTHER,"Validate and sanitize all request bodies and search params on the server using a schema (e.g., zod). Reject invalid payloads with proper status.",HIGH,HARDEN,Rule retained in code-first mode with schema and behavior verification.,rule-schema-validation|rule-behavior-validation,@codenautic/runtime,TRIAGED,9669337c-704f-4804-9bb2-34d4cf6c0ee4,HIGH,stack-nextjs|stack-react|security-hardening|api-conventions,LOW,RULE_TEXT_ONLY,rule-9669337c-schema::Validate uuid/severity/buckets and non-empty rule text for 9669337c-704f-4804-9bb2-34d4cf6c0ee4
H-RULE-73f962af-9086-44df-b75f-3f20e6fa030f,packages/runtime/src/api/migrations/defaults/rules.json,764,OTHER,Do not hardcode user-visible strings in pages/layouts. Use an i18n library integrated with App Router and load dictionaries on the server.,MEDIUM,KEEP_CODE_FIRST,Rule retained in code-first mode with schema and behavior verification.,rule-schema-validation|rule-behavior-validation,@codenautic/runtime,TRIAGED,73f962af-9086-44df-b75f-3f20e6fa030f,MEDIUM,stack-nextjs|stack-react|internationalization-i18n|accessibility-a11y,MEDIUM,RULE_TEXT_ONLY,rule-73f962af-schema::Validate uuid/severity/buckets and non-empty rule text for 73f962af-9086-44df-b75f-3f20e6fa030f
H-RULE-8e29a089-714d-4261-b15d-178ba856930d,packages/runtime/src/api/migrations/defaults/rules.json,790,OTHER,"For simple form submissions from RSC, use server actions with schema validation and then revalidate paths/tags. Avoid client fetch for trivial mutations.",MEDIUM,KEEP_CODE_FIRST,Rule retained in code-first mode with schema and behavior verification.,rule-schema-validation|rule-behavior-validation,@codenautic/runtime,TRIAGED,8e29a089-714d-4261-b15d-178ba856930d,MEDIUM,stack-nextjs|stack-react|api-conventions|caching-strategy|security-hardening,LOW,RULE_TEXT_ONLY,rule-8e29a089-schema::Validate uuid/severity/buckets and non-empty rule text for 8e29a089-714d-4261-b15d-178ba856930d
H-RULE-761c4759-3d0f-4202-a060-769fb1fd00cb,packages/runtime/src/api/migrations/defaults/rules.json,817,OTHER,Every awaited async operation must be guarded with error handling. Use try/catch for await and .catch for promise chains; never leave rejections unhandled.,HIGH,HARDEN,Rule retained in code-first mode with schema and behavior verification.,rule-schema-validation|rule-behavior-validation,@codenautic/runtime,TRIAGED,761c4759-3d0f-4202-a060-769fb1fd00cb,HIGH,error-handling,MEDIUM,RULE_TEXT_ONLY,rule-761c4759-schema::Validate uuid/severity/buckets and non-empty rule text for 761c4759-3d0f-4202-a060-769fb1fd00cb
H-RULE-e9374756-addd-4ee6-a8ae-aa3d1b808c4f,packages/runtime/src/api/migrations/defaults/rules.json,840,FALLBACK_DEFAULT,"When accessing properties that may be absent, use optional chaining and sensible defaults.",HIGH,HARDEN,Rule retained in code-first mode with schema and behavior verification.,rule-schema-validation|rule-behavior-validation,@codenautic/runtime,TRIAGED,e9374756-addd-4ee6-a8ae-aa3d1b808c4f,HIGH,error-handling,MEDIUM,RULE_TEXT_ONLY,rule-e9374756-schema::Validate uuid/severity/buckets and non-empty rule text for e9374756-addd-4ee6-a8ae-aa3d1b808c4f
H-RULE-76d51a5c-0094-46a3-9031-0e512552b219,packages/runtime/src/api/migrations/defaults/rules.json,863,OTHER,"At process start, validate required configuration keys and fail fast with a clear message if any are missing or malformed.",HIGH,HARDEN,Rule retained in code-first mode with schema and behavior verification.,rule-schema-validation|rule-behavior-validation,@codenautic/runtime,TRIAGED,76d51a5c-0094-46a3-9031-0e512552b219,HIGH,config-environment|stack-nodejs,MEDIUM,RULE_TEXT_ONLY,rule-76d51a5c-schema::Validate uuid/severity/buckets and non-empty rule text for 76d51a5c-0094-46a3-9031-0e512552b219
H-RULE-ff178e1d-2ba6-434d-85c1-5a476d236eb7,packages/runtime/src/api/migrations/defaults/rules.json,887,OTHER,Handlers must return non-2xx status codes for error outcomes and include a minimal error body that does not leak sensitive details.,HIGH,HARDEN,Rule retained in code-first mode with schema and behavior verification.,rule-schema-validation|rule-behavior-validation,@codenautic/runtime,TRIAGED,ff178e1d-2ba6-434d-85c1-5a476d236eb7,HIGH,api-conventions|error-handling|security-hardening|api-contracts-versioning,LOW,RULE_TEXT_ONLY,rule-ff178e1d-schema::Validate uuid/severity/buckets and non-empty rule text for ff178e1d-2ba6-434d-85c1-5a476d236eb7
H-RULE-0b3fd9b4-b7de-46e0-bc66-d79eafc5ef21,packages/runtime/src/api/migrations/defaults/rules.json,913,OTHER,"Error logs must include the operation name and relevant identifiers as structured fields, not just a message string.",HIGH,HARDEN,Rule retained in code-first mode with schema and behavior verification.,rule-schema-validation|rule-behavior-validation,@codenautic/runtime,TRIAGED,0b3fd9b4-b7de-46e0-bc66-d79eafc5ef21,HIGH,error-handling|observability-logging,MEDIUM,RULE_TEXT_ONLY,rule-0b3fd9b4-schema::Validate uuid/severity/buckets and non-empty rule text for 0b3fd9b4-b7de-46e0-bc66-d79eafc5ef21
H-RULE-0528d785-867e-4379-9ad1-34cb98908e81,packages/runtime/src/api/migrations/defaults/rules.json,937,OTHER,Never swallow exceptions in catch blocks; either rethrow or return an explicit error result.,HIGH,HARDEN,Rule retained in code-first mode with schema and behavior verification.,rule-schema-validation|rule-behavior-validation,@codenautic/runtime,TRIAGED,0528d785-867e-4379-9ad1-34cb98908e81,HIGH,error-handling,MEDIUM,RULE_TEXT_ONLY,rule-0528d785-schema::Validate uuid/severity/buckets and non-empty rule text for 0528d785-867e-4379-9ad1-34cb98908e81
H-RULE-bfa35c84-1442-458c-9a30-15beaee9310a,packages/runtime/src/api/migrations/defaults/rules.json,960,OTHER,"When subscribing to streams/listeners, always provide an error handler and a deterministic unsubscribe/cleanup path.",HIGH,HARDEN,Rule retained in code-first mode with schema and behavior verification.,rule-schema-validation|rule-behavior-validation,@codenautic/runtime,TRIAGED,bfa35c84-1442-458c-9a30-15beaee9310a,HIGH,error-handling|ui-robustness|stack-nodejs,MEDIUM,RULE_TEXT_ONLY,rule-bfa35c84-schema::Validate uuid/severity/buckets and non-empty rule text for bfa35c84-1442-458c-9a30-15beaee9310a
H-RULE-9fcfb080-db70-418b-ac1d-1ee21b41d7ae,packages/runtime/src/api/migrations/defaults/rules.json,985,OTHER,Define a discriminated union or error class hierarchy and use user-defined type guards before handling specific cases.,MEDIUM,KEEP_CODE_FIRST,Rule retained in code-first mode with schema and behavior verification.,rule-schema-validation|rule-behavior-validation,@codenautic/runtime,TRIAGED,9fcfb080-db70-418b-ac1d-1ee21b41d7ae,MEDIUM,error-handling|style-conventions,HIGH,RULE_TEXT_ONLY,rule-9fcfb080-schema::Validate uuid/severity/buckets and non-empty rule text for 9fcfb080-db70-418b-ac1d-1ee21b41d7ae
H-RULE-f5feb2ce-b360-4b62-8aaa-9923c28b2320,packages/runtime/src/api/migrations/defaults/rules.json,1009,OTHER,Every catch block must log or report the error at least once before handling or rethrowing.,HIGH,HARDEN,Rule retained in code-first mode with schema and behavior verification.,rule-schema-validation|rule-behavior-validation,@codenautic/runtime,TRIAGED,f5feb2ce-b360-4b62-8aaa-9923c28b2320,HIGH,error-handling|observability-logging,MEDIUM,RULE_TEXT_ONLY,rule-f5feb2ce-schema::Validate uuid/severity/buckets and non-empty rule text for f5feb2ce-b360-4b62-8aaa-9923c28b2320
H-RULE-304bf286-70c3-4bbf-a3ff-13cb623e7440,packages/runtime/src/api/migrations/defaults/rules.json,1033,OTHER,Duplicate sequences of statements must be extracted into a named function or utility.,MEDIUM,KEEP_CODE_FIRST,Rule retained in code-first mode with schema and behavior verification.,rule-schema-validation|rule-behavior-validation,@codenautic/runtime,TRIAGED,304bf286-70c3-4bbf-a3ff-13cb623e7440,MEDIUM,duplication-complexity|readability-refactor,HIGH,RULE_TEXT_ONLY,rule-304bf286-schema::Validate uuid/severity/buckets and non-empty rule text for 304bf286-70c3-4bbf-a3ff-13cb623e7440
H-RULE-4d77960c-4886-4aeb-bf9b-c95b490c7879,packages/runtime/src/api/migrations/defaults/rules.json,1057,OTHER,Avoid maintaining multiple equivalent validators for the same shape; centralize checks in a single function/schema.,MEDIUM,KEEP_CODE_FIRST,Rule retained in code-first mode with schema and behavior verification.,rule-schema-validation|rule-behavior-validation,@codenautic/runtime,TRIAGED,4d77960c-4886-4aeb-bf9b-c95b490c7879,MEDIUM,duplication-complexity|maintainability,MEDIUM,RULE_TEXT_ONLY,rule-4d77960c-schema::Validate uuid/severity/buckets and non-empty rule text for 4d77960c-4886-4aeb-bf9b-c95b490c7879
